File,Class,isDC,isGC
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.proxy.ProxyFailoverTest,ProxyFailoverTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.proxy.ProxyTestSupport,ProxyTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.BrokerPropertiesTest,BrokerPropertiesTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.ConfigTest,ConfigTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.ConfigUsingDestinationOptions,ConfigUsingDestinationOptions,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.JDBCConfigTest,JDBCConfigTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.BrokerXmlConfigTest,BrokerXmlConfigTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.config.BrokerXmlConfigFromJNDITest,BrokerXmlConfigFromJNDITest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.memory.MemoryPropertyTest,MemoryPropertyTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.memory.buffer.SizeBasedMessageBufferTest,SizeBasedMessageBufferTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.memory.buffer.OrderBasedMemoryBufferTest,OrderBasedMemoryBufferTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQBytesMessageTest,ActiveMQBytesMessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.MessageCompressionTest,MessageCompressionTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQStreamMessageTest,ActiveMQStreamMessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.MessageTest,MessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQMessageTest,ActiveMQMessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQObjectMessageTest,ActiveMQObjectMessageTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQDestinationTest,ActiveMQDestinationTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQMapMessageTest,ActiveMQMapMessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.ActiveMQTextMessageTest,ActiveMQTextMessageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.command.DataStructureTestSupport,DataStructureTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DummyPolicyTest,DummyPolicyTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DestinationMapMemoryTest,DestinationMapMemoryTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DestinationMapTempDestinationTest,DestinationMapTempDestinationTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DestinationPathTest,DestinationPathTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DestinationMapTest,DestinationMapTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DummyPolicy,DummyPolicy,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.filter.DestinationFilterTest,DestinationFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.plugin.BrokerStatisticsPluginTest,BrokerStatisticsPluginTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.spring.Spring2XmlNamespacesTest,Spring2XmlNamespacesTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.spring.Spring2XmlNamespacesWithoutRemoteSchemaTest,Spring2XmlNamespacesWithoutRemoteSchemaTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.spring.ActiveMQConnectionFactoryFactoryBeanTest,ActiveMQConnectionFactoryFactoryBeanTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.spring.ConsumerBean,ConsumerBean,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.spring.SpringTestSupport,SpringTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.leveldb.LevelDBStoreBrokerTest,LevelDBStoreBrokerTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.leveldb.LevelDBXARecoveryBrokerTest,LevelDBXARecoveryBrokerTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.joramtests.ActiveMQAdmin,ActiveMQAdmin,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.joramtests.JoramJmsTest,JoramJmsTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.JmsTopicSendReceiveTest,JmsTopicSendReceiveTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.JmsTopicSendReceiveWithTwoConnectionsTest,JmsTopicSendReceiveWithTwoConnectionsTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.TemporaryDestinationToFromNameTest,TemporaryDestinationToFromNameTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.JmsSendReceiveTestSupport,JmsSendReceiveTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.retroactive.RetroactiveConsumerTestWithSimpleMessageListTest,RetroactiveConsumerTestWithSimpleMessageListTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.retroactive.RetroactiveConsumerTestWithTimePolicyTest,RetroactiveConsumerTestWithTimePolicyTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.retroactive.RetroactiveConsumerWithMessageQueryTest,RetroactiveConsumerWithMessageQueryTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.retroactive.RetroactiveConsumerTestWithDestinationBasedBufferTest,RetroactiveConsumerTestWithDestinationBasedBufferTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.rollback.RollbacksWhileConsumingLargeQueueTest,RollbacksWhileConsumingLargeQueueTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.rollback.CloseRollbackRedeliveryQueueTest,CloseRollbackRedeliveryQueueTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.message.NestedMapMessageTest,NestedMapMessageTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.test.message.NestedMapAndListPropertyTest,NestedMapAndListPropertyTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.usage.CompositeMessageCursorUsageTest,CompositeMessageCursorUsageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.usage.StoreUsageTest,StoreUsageTest,0,1
