File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.put.AbstractPutEventProcessor,FlowFileMessageBatch,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.put.sender.ChannelSender,ChannelSender,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.put.sender.DatagramChannelSender,DatagramChannelSender,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.put.sender.SSLSocketChannelSender,SSLSocketChannelSender,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.AbstractListenEventBatchingProcessor,AbstractListenEventBatchingProcessor,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.AbstractListenEventBatchingProcessor,FlowFileEventBatch,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.AbstractListenEventProcessor,AbstractListenEventProcessor,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.response.socket.SSLSocketChannelResponder,SSLSocketChannelResponder,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.response.socket.SocketChannelResponder,SocketChannelResponder,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.event.StandardEventFactory,StandardEventFactory,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.event.StandardEvent,StandardEvent,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.event.EventQueue,EventQueue,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.event.EventFactoryUtil,EventFactoryUtil,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.handler.ChannelHandler,ChannelHandler,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.handler.socket.StandardSocketChannelHandler,StandardSocketChannelHandler,1,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.handler.socket.SSLSocketChannelHandler,SSLSocketChannelHandler,1,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.handler.socket.SocketChannelHandlerFactory,SocketChannelHandlerFactory,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.handler.socket.SocketChannelHandler,SocketChannelHandler,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.dispatcher.DatagramChannelDispatcher,DatagramChannelDispatcher,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.listen.dispatcher.SocketChannelDispatcher,SocketChannelDispatcher,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.bin.BinManager,BinManager,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.bin.Bin,Bin,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-processor-utils.src.main.java.org.apache.nifi.processor.util.bin.BinFiles,BinFiles,0,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.hadoop.KerberosKeytabSPNegoScheme,KerberosKeytabSPNegoScheme,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.hadoop.KerberosKeytabSPNegoAuthSchemeProvider,KerberosKeytabSPNegoAuthSchemeProvider,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.hadoop.SecurityUtil,SecurityUtil,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.hadoop.KerberosTicketRenewer,KerberosTicketRenewer,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.processors.hadoop.AbstractHadoopProcessor,AbstractHadoopProcessor,1,1
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.processors.hadoop.AbstractHadoopProcessor,HdfsResources,1,0
nifi.nifi-nar-bundles.nifi-extension-utils.nifi-hadoop-utils.src.main.java.org.apache.nifi.processors.hadoop.AbstractHadoopProcessor,ExtendedConfiguration,1,0
nifi.nifi-nar-bundles.nifi-registry-bundle.nifi-registry-service.src.test.java.org.apache.nifi.schemaregistry.services.TestAvroSchemaRegistry,TestAvroSchemaRegistry,0,1
nifi.nifi-nar-bundles.nifi-registry-bundle.nifi-registry-service.src.main.java.org.apache.nifi.schemaregistry.services.AvroSchemaValidator,AvroSchemaValidator,1,0
nifi.nifi-nar-bundles.nifi-registry-bundle.nifi-registry-service.src.main.java.org.apache.nifi.schemaregistry.services.AvroSchemaRegistry,AvroSchemaRegistry,1,1
nifi.nifi-nar-bundles.nifi-metrics-reporting-bundle.nifi-metrics-reporting-task.src.test.java.org.apache.nifi.metrics.reporting.task.MetricsReportingTaskTest,MetricsReportingTaskTest,1,1
nifi.nifi-nar-bundles.nifi-metrics-reporting-bundle.nifi-metrics-reporting-task.src.test.java.org.apache.nifi.metrics.reporting.reporter.service.GraphiteMetricReporterServiceTest,GraphiteMetricReporterServiceTest,0,1
nifi.nifi-nar-bundles.nifi-metrics-reporting-bundle.nifi-metrics-reporting-task.src.test.java.org.apache.nifi.metrics.reporting.reporter.service.GraphiteMetricReporterServiceTest,TestableGraphiteMetricReporterService,1,0
nifi.nifi-nar-bundles.nifi-metrics-reporting-bundle.nifi-metrics-reporting-task.src.main.java.org.apache.nifi.metrics.reporting.task.MetricsReportingTask,MetricsReportingTask,1,0
nifi.nifi-nar-bundles.nifi-metrics-reporting-bundle.nifi-metrics-reporting-task.src.main.java.org.apache.nifi.metrics.reporting.reporter.service.GraphiteMetricReporterService,GraphiteMetricReporterService,0,1
nifi.nifi-nar-bundles.nifi-jolt-record-bundle.nifi-jolt-record-processors.src.test.java.org.apache.nifi.processors.jolt.record.TestJoltTransformRecord,TestJoltTransformRecord,0,1
nifi.nifi-nar-bundles.nifi-jolt-record-bundle.nifi-jolt-record-processors.src.test.java.org.apache.nifi.processors.jolt.record.util.TestTransformFactory,TestTransformFactory,1,0
nifi.nifi-nar-bundles.nifi-jolt-record-bundle.nifi-jolt-record-processors.src.main.java.org.apache.nifi.processors.jolt.record.util.TransformFactory,TransformFactory,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.AbstractAzureBlobStorageIT,AbstractAzureBlobStorageIT,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.PutAzureEventHubTest,PutAzureEventHubTest,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.PutAzureEventHubTest,MockPutAzureEventHub,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.PutAzureEventHubTest,OnSendThrowingMockPutAzureEventHub,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.PutAzureEventHubTest,BogusConnectionStringMockPutAzureEventHub,1,0
