File,Method,isFE,isLM
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,getServiceFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setServiceFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,createEndpoint,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setSchemaLocation,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setSchemaLocations,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setProviders,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setProvider,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setupFactory,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setDataBindingProvider,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setModelBeans,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setModelBeans,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setModelBeansWithServiceClass,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setModelRef,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.AbstractJAXRSFactoryBean,setModelRefWithServiceClass,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormValidator,validate,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,setMessageContext,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,isReadable,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,isSupported,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,isSupportedFormDataType,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,checkContentLength,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,readFrom,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,fromAttachment,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,decodeIfNeeded,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,mediaTypeSupported,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getSize,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,isWriteable,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,writeTo,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,convertToDataHandlers,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getAttachments,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,createDataHandler,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,createDataHandler,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getContentId,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getHandlerForObject,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getHandlerForObject,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,createInputStreamDH,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getRootMediaType,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.MultipartProvider,getContentType,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,setBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,getBus,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,getConsumeMediaTypes,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,getProduceMediaTypes,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,getEnableBuffering,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,getEnableStreaming,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,init,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.AbstractConfigurableProvider,isPayloadEmpty,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXBAttachmentUnmarshaller,getAttachmentAsDataHandler,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXBAttachmentUnmarshaller,getAttachmentAsByteArray,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXBAttachmentUnmarshaller,isXOPPackage,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setProvider,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,createReader,0,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,createWriter,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,initialize,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,getTargetMethod,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,getHeaders,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,getWriteHeaders,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,write,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,write,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setAttachments,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setProperty,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setSchema,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,read,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,read,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,read,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,read,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,doRead,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setAttachments,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setProperty,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.JAXRSDataBinding,setSchema,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setSupportJaxbOnly,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,isReadable,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,isWriteable,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,inTemplatesAvailable,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,outTemplatesAvailable,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,getInTemplates,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,getOutTemplates,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,unmarshalFromInputStream,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,unmarshalFromReader,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,marshalToWriter,1,0
